country,year,AvgTemperature,suicides/100k pop,HDI for year,gdp_per_capita ($),military_exp,warm/cold
Bahrain,2006,27.225266362252672,27.18,,20826.0,1.2490866758738004,warm
Bahrain,2007,27.211996336996325,32.09,,22524.0,1.59226758156392,warm
Bahrain,2008,26.940628815628788,27.89,,25106.000000000004,1.3979037713492302,warm
Bahrain,2009,27.446886446886456,24.59,,20988.0,1.52145472580919,warm
Bahrain,2010,28.29269406392694,11.89,0.8190000000000003,22572.0,1.3775162616889702,warm
Bahrain,2011,27.17777777777776,14.96,0.8170000000000003,26078.000000000004,1.2947595034466204,warm
Bahrain,2012,27.60230722525805,8.68,0.8190000000000003,25587.0,1.3230237354878795,warm
Bahrain,2013,27.335768645357692,2.49,0.8210000000000001,26793.0,1.3901157360987597,warm
Belarus,1997,6.251913070094891,446.49999999999994,,1458.0,2.4307013549237997,cold
Belarus,1998,6.912387177093062,455.64,,1569.9999999999998,2.4530591474314605,cold
Belarus,1999,8.29334554334554,450.36,,1269.0,2.645171956338531,cold
Belarus,2000,8.311778992106865,447.3,0.6829999999999998,1335.0,2.6711704653622994,cold
Belarus,2001,7.4261796042617965,419.6500000000001,,1299.0,2.8844613869966698,cold
Belarus,2002,8.074330563250225,410.99999999999994,,1541.0000000000002,2.8012596498514193,cold
Belarus,2003,7.171411080501993,444.86,,1892.0000000000002,2.71202074866405,cold
Belarus,2007,8.197275788184879,355.89000000000004,,4898.0,2.2296112607375496,cold
Belarus,2008,8.318223443223443,352.15999999999997,,6600.999999999999,2.13453582058299,cold
Belarus,2009,7.306550352004893,375.53999999999996,,5366.0,1.7441729347053696,cold
Belarus,2010,7.236568986568984,331.97999999999996,0.7859999999999999,6371.000000000001,1.6450171927701398,cold
Belarus,2011,8.062100456621009,299.36,0.7929999999999997,6902.000000000001,1.3199772602341495,cold
Belarus,2013,7.955555555555557,273.32,0.7960000000000002,8477.000000000002,1.4609223428161802,cold
Belgium,1997,10.62922374429224,284.73999999999995,,26609.000000000004,5.06848741255812,cold
Belgium,1998,10.721298861188053,264.73999999999995,,27087.0,5.333103952518171,cold
Belgium,1999,11.181013431013435,230.70000000000002,,26969.000000000004,5.50362154366541,cold
Belgium,2000,11.286126290224656,267.8,0.874,24591.999999999996,3.9616709688485305,cold
Belgium,2001,10.881887366818878,261.22,,24494.000000000004,4.14808163198998,cold
Belgium,2002,11.296398891966765,247.85999999999999,,26526.0,4.611106606350529,cold
Belgium,2003,11.2910197869102,248.72999999999996,,32538.0,4.6588328030262804,cold
Belgium,2004,10.905434122647238,231.06000000000003,,37661.0,4.04492884796012,cold
Belgium,2005,11.189041095890405,231.75000000000003,0.8660000000000002,39124.0,3.214381095330068,cold
Belgium,2006,11.142161339421607,214.89999999999998,,41135.0,3.10294772848129,cold
Belgium,2007,11.191697191697186,208.56999999999996,,47040.0,2.9569902343439196,cold
Belgium,2008,10.594414086217363,221.54000000000002,,51345.0,2.80016136873791,cold
Belgium,2009,10.700702075702083,218.35000000000002,,47629.99999999999,3.6105352496765097,cold
Belgium,2010,9.3531202435312,220.18,0.883,47355.0,3.277755942160899,cold
Belgium,2011,11.375342465753418,226.70999999999998,0.8859999999999998,50893.00000000001,3.591497227356749,cold
Belgium,2012,10.420765027322416,217.13,0.8889999999999998,47677.99999999999,3.8445737020779696,cold
Belgium,2013,9.91963470319635,201.55000000000004,0.8879999999999998,49489.00000000001,4.14145178849907,cold
Brazil,1997,21.97494870964262,76.80000000000001,,5891.000000000001,1.5776883155177404,warm
Brazil,1998,22.612999198993037,75.05,,5663.000000000001,1.6622919197582398,warm
Brazil,1999,21.88014119091463,67.64999999999999,,3864.0,1.6454746665698698,warm
Brazil,2000,22.316996448503307,68.22999999999999,0.6829999999999998,4156.000000000001,1.73072614713627,warm
Brazil,2001,22.68457468457464,73.49000000000001,,3492.0,1.9518824453253203,warm
Brazil,2002,22.79596899224805,69.77,,3121.0000000000005,1.8957711991561699,warm
Brazil,2003,22.13212937455359,68.07000000000001,,3376.0000000000005,1.5034776355450703,warm
Brazil,2004,21.94196518923293,70.22,,3984.0,1.4612684089062105,warm
Brazil,2005,21.928006088280057,73.60000000000001,0.7020000000000001,5230.0,1.5240133925210702,warm
Brazil,2006,21.639167935058314,69.89999999999999,,6402.999999999999,1.4810848948930302,warm
Brazil,2007,21.807743182743184,71.67999999999999,,7970.000000000001,1.4662920999290199,warm
Brazil,2008,21.311243750637683,72.21000000000001,,9555.0,1.441924042010121,warm
Brazil,2009,21.926892551892532,70.37,,9283.0,1.5386256760121106,warm
Brazil,2010,22.4441400304414,72.73,0.737,12160.999999999998,1.53940698128362,warm
Brazil,2011,21.74444444444443,72.41000000000001,0.7419999999999999,14245.000000000002,1.4118511592452403,warm
Brazil,2012,22.3192673547865,74.45000000000002,0.7460000000000001,13282.999999999998,1.3786564647043698,warm
Brazil,2013,22.260933536276028,73.41000000000001,0.7519999999999999,13191.0,1.3294461087607,warm
Bulgaria,1997,9.322222222222221,276.36,,1410.9999999999998,3.197204627184141,cold
Bulgaria,1998,10.409510618651886,304.61,,1851.9999999999998,3.77939884443731,cold
Bulgaria,1999,10.561355311355307,250.70999999999998,,1715.0000000000002,3.0920737553023607,cold
Bulgaria,2000,10.959775349119619,259.22,0.713,1680.0,3.1912429508105813,cold
Bulgaria,2001,10.402283105022823,244.62,,1854.0,3.83122303260369,cold
Bulgaria,2002,10.241151123422588,247.35,,2157.0,4.1102064895165595,cold
Bulgaria,2003,10.09558599695586,207.65,,2800.0000000000005,4.007366588705179,cold
Bulgaria,2004,10.29978749241044,184.11999999999998,,3484.9999999999995,3.5058740413487413,cold
Bulgaria,2005,9.522070015220699,178.06,0.7490000000000001,4003.0000000000005,2.858004185040249,cold
Bulgaria,2006,10.232267884322681,186.53,,4638.0,2.6951213735137096,cold
Bulgaria,2007,11.968864468864474,173.77,,6072.999999999999,2.80145519309751,cold
Bulgaria,2008,11.886453576864525,170.34,,7487.000000000001,3.0369682378022707,cold
Bulgaria,2009,11.474969474969484,154.42,,7185.999999999999,3.21559056061332,cold
Bulgaria,2010,11.589497716894977,158.25000000000006,0.773,7065.999999999999,2.7268572560016797,cold
Bulgaria,2011,10.80867579908675,133.51999999999998,0.775,8136.999999999999,2.3666463340517203,cold
Bulgaria,2012,11.77975106253796,164.17,0.7779999999999999,7745.000000000001,2.2667611313377405,cold
